,Date,LLF01,LLZ00,LLG00,LLF02,LLF00,LLH00,LLG01,LLJ00,LLH01,LLK00,LLJ01,LLM00,LLK01,LLN00,LLM01,LLQ00,LLN01,LLU00,LLQ01,LLV00,LLU01,LLX00,LLV01,LLX01,LLG02,LLH02,LLJ02,LLK02,LLM02,LLN02,LLQ02,LLU02,LLV02,LLZ01,LLX02,LLZ02,LLF03,LLG03,LLH03,LLJ03,LLK03,LLM03,LLN03,LLQ03,LLU03,LLV03,LLX03,LLZ03,LLF04,LLG04,LLH04,LLJ04,LLK04,LLM04,LLN04,LLQ04,LLU04,LLV04,LLX04,LLZ04,LLF05,LLG05,LLH05,LLJ05,LLK05,LLM05,LLN05,LLQ05,LLU05,LLV05,LLX05,LLZ05,LLF06,LLG06,LLH06,LLJ06,LLK06,LLM06,LLN06,LLQ06,LLU06,LLV06,LLX06,LLZ06,LLF07,LLG07,LLH07,LLJ07,LLK07,LLM07,LLN07,LLQ07,LLU07,LLV07,LLX07,LLZ07,LLF08,LLG08,LLH08,LLJ08,LLK08,LLM08,LLN08,LLQ08,LLU08,LLV08,LLX08,LLZ08,LLF09,LLG09,LLH09,LLJ09,LLK09,LLM09,LLN09,LLQ09,LLU09,LLV09,LLX09,LLZ09,LLF10,LLG10,LLH10,LLJ10,LLK10,LLM10,LLN10,LLQ10,LLU10,LLV10,LLX10,LLZ10,LLF11,LLG11,LLH11,LLJ11,LLK11,LLM11,LLN11,LLQ11,LLU11,LLV11,LLX11,LLZ11,LLF12,LLG12,LLH12,LLJ12,LLK12,LLM12,LLN12,LLQ12,LLU12,LLV12,LLX12,LLZ12,LLF13,LLG13,LLH13,LLJ13,LLK13,LLM13,LLN13,LLQ13,LLU13,LLV13,LLX13,LLZ13,LLF14,LLG14,LLH14,LLJ14,LLK14,LLM14,LLN14,LLQ14,LLU14,LLV14,LLX14,LLZ14,LLF15,LLG15,LLH15,LLJ15,LLK15,LLM15,LLN15,LLQ15,LLU15,LLV15,LLX15,LLZ15,LLF16,LLG16,LLH16,LLJ16,LLK16,LLM16,LLN16,LLQ16,LLU16,LLV16,LLX16,LLZ16,LLF17,LLG17,LLH17,LLJ17,LLK17,LLM17,LLN17,LLQ17,LLU17,LLV17,LLX17,LLZ17,LLF18,LLG18,LLH18,LLJ18,LLK18,LLM18,LLN18,LLQ18,LLU18,LLV18,LLX18,LLZ18,LLF19,LLG19,LLH19,LLJ19,LLK19,LLM19,LLN19,LLQ19,LLU19,LLV19,LLX19,LLZ19,LLF20,LLG20,LLH20,LLJ20,LLK20,LLM20,LLN20,LLQ20,LLU20,LLV20,LLX20,LLZ20,LLF21,LLG21,LLH21,LLJ21,LLK21,LLM21,LLN21,LLQ21,LLU21,LLV21,LLX21,LLZ21,LLF22,LLG22,LLH22,LLJ22,LLK22,LLM22,LLN22,LLQ22,LLU22,LLV22,LLX22,LLZ22,LLF23,LLG23,LLH23,LLJ23,LLK23,LLM23,LLN23,LLQ23,LLU23,LLV23,LLX23,LLZ23,PnL,PNL,IS_ROLLING,Day
0,1999-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,
1,1999-10-04,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,
2,1999-10-05,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,17.5,,
3,1999-10-06,,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,13.75,,
4,1999-10-07,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,
5,1999-10-08,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,52.5,,
6,1999-10-11,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,47.5,,
7,1999-10-12,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,52.5,,
8,1999-10-13,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,
9,1999-10-14,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,42.5,,
