,Date,LPF00,LPZ00,LPG00,LPF01,LPH00,LPG01,LPJ00,LPH01,LPK00,LPJ01,LPM00,LPK01,LPN00,LPM01,LPQ00,LPN01,LPU00,LPQ01,LPV00,LPU01,LPX00,LPV01,LPX01,LPZ01,LPF02,LPG02,LPH02,LPJ02,LPK02,LPM02,LPN02,LPQ02,LPU02,LPV02,LPX02,LPZ02,LPF03,LPG03,LPH03,LPJ03,LPK03,LPM03,LPN03,LPQ03,LPU03,LPV03,LPX03,LPZ03,LPF04,LPG04,LPH04,LPJ04,LPK04,LPM04,LPN04,LPQ04,LPU04,LPV04,LPX04,LPZ04,LPF05,LPG05,LPH05,LPJ05,LPK05,LPM05,LPN05,LPQ05,LPU05,LPV05,LPX05,LPZ05,LPF06,LPG06,LPH06,LPJ06,LPK06,LPM06,LPN06,LPQ06,LPU06,LPV06,LPX06,LPZ06,LPF07,LPG07,LPH07,LPJ07,LPK07,LPM07,LPN07,LPQ07,LPU07,LPV07,LPX07,LPZ07,LPF08,LPG08,LPH08,LPJ08,LPK08,LPM08,LPN08,LPQ08,LPU08,LPV08,LPX08,LPZ08,LPF09,LPG09,LPH09,LPJ09,LPK09,LPM09,LPN09,LPQ09,LPU09,LPV09,LPX09,LPZ09,LPF10,LPG10,LPH10,LPJ10,LPK10,LPM10,LPN10,LPQ10,LPU10,LPV10,LPX10,LPZ10,LPF11,LPG11,LPH11,LPJ11,LPK11,LPM11,LPN11,LPQ11,LPU11,LPV11,LPX11,LPZ11,LPF12,LPG12,LPH12,LPJ12,LPK12,LPM12,LPN12,LPQ12,LPU12,LPV12,LPX12,LPZ12,LPF13,LPG13,LPH13,LPJ13,LPK13,LPM13,LPN13,LPQ13,LPU13,LPV13,LPX13,LPZ13,LPF14,LPG14,LPH14,LPJ14,LPK14,LPM14,LPN14,LPQ14,LPU14,LPV14,LPX14,LPZ14,LPF15,LPG15,LPH15,LPJ15,LPK15,LPM15,LPN15,LPQ15,LPU15,LPV15,LPX15,LPZ15,LPF16,LPG16,LPH16,LPJ16,LPK16,LPM16,LPN16,LPQ16,LPU16,LPV16,LPX16,LPZ16,LPF17,LPG17,LPH17,LPJ17,LPK17,LPM17,LPN17,LPQ17,LPU17,LPV17,LPX17,LPZ17,LPF18,LPG18,LPH18,LPJ18,LPK18,LPM18,LPN18,LPQ18,LPU18,LPV18,LPX18,LPZ18,LPF19,LPG19,LPH19,LPJ19,LPK19,LPM19,LPN19,LPQ19,LPU19,LPV19,LPX19,LPZ19,LPF20,LPG20,LPH20,LPJ20,LPK20,LPM20,LPN20,LPQ20,LPU20,LPV20,LPX20,LPZ20,LPF21,LPG21,LPH21,LPJ21,LPK21,LPM21,LPN21,LPQ21,LPU21,LPV21,LPX21,LPZ21,LPF22,LPG22,LPH22,LPJ22,LPK22,LPM22,LPN22,LPQ22,LPU22,LPV22,LPX22,LPZ22,LPF23,LPG23,LPH23,LPJ23,LPK23,LPM23,LPN23,LPQ23,LPU23,LPV23,LPX23,LPZ23,PnL,PNL,IS_ROLLING,Day
0,1998-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,
1,1998-12-22,10.0,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,,
2,1998-12-23,-30.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,-17.5,,
3,1998-12-24,-30.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,-17.5,,
4,1998-12-25,-30.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,-17.5,,
5,1998-12-28,-30.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,-17.5,,
6,1998-12-29,200.0,-217.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,-17.5,,
7,1998-12-30,77.5,-95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,-17.5,,
8,1998-12-31,87.5,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.5,-27.5,,
9,1999-01-01,87.5,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.5,-27.5,,
